Loan product,borrowers,No of Loans,Outstanding Princiapl,No of OD Loans,1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
88,70-75,1,1,20109,0,0,0,0,0,0,0,0,0,,,,,,
326,70-75,1,1,42176,0,0,0,0,0,0,0,0,0,,,,,,
32,<50,32,31,4973172.36,0,0,0,0,0,0,0,0,0,,,,,,
70,60-70,1208,1081,249576939.71,7,2575277.7,354719.04,0,226288.84,0,0,0,0,,,,,,
81,70-75,4,4,460,0,0,0,0,0,0,0,0,0,,,,,,
63,60-70,375,363,40220115.66,0,0,0,0,0,0,0,0,0,,,,,,
73,70-75,1789,1719,188599904.54,0,0,0,0,0,0,0,0,0,,,,,,
19,<50,13,13,1453856,0,0,0,0,0,0,0,0,0,,,,,,
41,<50,78,76,8643735.81,0,0,0,0,0,0,0,0,0,,,,,,
64,60-70,381,378,27919840.57,0,0,0,0,0,0,0,0,0,,,,,,
55,50-60,105,92,37632226.54,4,201936.42,0,0,232151,523013.91,0,536043.22,0,,,,,,
-1,No LTV,271538,233795,8227364910.93355,1088,12879885.24,13894189.08,5918892.36,4172427.69,2675283.97,1091145.06,1327623.11,367410.08,,,,,,
26,<50,17,17,2075834.11,0,0,0,0,0,0,0,0,0,,,,,,
43,<50,129,113,26387522.59,1,0,219214.02,0,0,0,0,0,0,,,,,,
68,60-70,591,582,45818612.94,0,0,0,0,0,0,0,0,0,,,,,,
24,<50,15,14,1369251.3,0,0,0,0,0,0,0,0,0,,,,,,
39,<50,62,62,7087308.72,0,0,0,0,0,0,0,0,0,,,,,,
62,60-70,352,336,39537892.13,1,0,0,0,602688.89,0,0,0,0,,,,,,
42,<50,96,92,16003619.41,0,0,0,0,0,0,0,0,0,,,,,,
66,60-70,497,493,34562524.05,0,0,0,0,0,0,0,0,0,,,,,,
0,<50,10,6,600423,0,0,0,0,0,0,0,0,0,,,,,,
11,<50,3,3,23040,0,0,0,0,0,0,0,0,0,,,,,,
38,<50,54,52,8552213.63,0,0,0,0,0,0,0,0,0,,,,,,
61,60-70,297,286,21816183.01,1,0,0,0,0,0,0,348122.31,0,,,,,,
50,<50,203,189,46569903.57,1,0,0,0,0,0,791940.55,0,0,,,,,,
55,50-60,137,137,3985646,0,0,0,0,0,0,0,0,0,,,,,,
82,70-75,4,4,1169,0,0,0,0,0,0,0,0,0,,,,,,
40,<50,79,77,14396651.28,0,0,0,0,0,0,0,0,0,,,,,,
30,<50,34,34,5582373.12,0,0,0,0,0,0,0,0,0,,,,,,
51,50-60,131,130,8883089.76,0,0,0,0,0,0,0,0,0,,,,,,
84,70-75,1,1,50,0,0,0,0,0,0,0,0,0,,,,,,
20,<50,12,12,1755768.51,0,0,0,0,0,0,0,0,0,,,,,,
79,70-75,4,4,272995,0,0,0,0,0,0,0,0,0,,,,,,
31,<50,34,34,1984725.47,0,0,0,0,0,0,0,0,0,,,,,,
53,50-60,164,154,16978230.07,1,0,0,872589.63,0,0,0,0,0,,,,,,
77,70-75,3,3,14231,0,0,0,0,0,0,0,0,0,,,,,,
52,50-60,136,129,16002747.61,2,399422.72,0,0,0,0,0,0,0,,,,,,
75,70-75,74074,43564,8307167167.4,0,0,0,0,0,0,0,0,0,,,,,,
86,70-75,1,1,72262,0,0,0,0,0,0,0,0,0,,,,,,
307,70-75,1,1,14076,0,0,0,0,0,0,0,0,0,,,,,,
18,<50,5,5,43862,0,0,0,0,0,0,0,0,0,,,,,,
71,70-75,1008,988,91861239.16,1,0,0,0,781344.01,0,0,0,0,,,,,,
28,<50,5,5,2041561.75,0,0,0,0,0,0,0,0,0,,,,,,
47,<50,103,100,12509861.5,1,0,381789.43,0,0,0,0,0,0,,,,,,
76,70-75,947,900,21798010.59,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Row Labels,Sum of No of Loans,Sum of Outstanding Princiapl,Sum of No of OD Loans,Sum of Jan-30,Sum of 31-60,Sum of 61-90,Sum of 91-120,Sum of 121-150,Sum of 151-180,Sum of 181-365,Sum of >365,,,,,,,
,<50,1990,28.764059260000003,6,0,0.09146231799999999,0.034898741,0,0.034519711,0.079194055,0,0,,,,,,,
,50-60,2085,25.021442453899997,14,0.081903853,0.041983004,0.262131032,0.0232151,0.083061892,0,0.053604321999999996,0,,,,,,,
,60-70,5540,67.42154649899999,14,0.263260728,0.035471904,0.107249377,0.121140232,0,0,0.034812231,0,,,,,,,
,70-75,82696,910.8189788359998,3,0,0.029268039000000003,0,0.12433776400000002,0,0,0,0,,,,,,,
,No LTV,271538,822.736491093355,1088,1.287988524,1.389418908,0.591889236,0.417242769,0.26752839700000003,0.109114506,0.13276231100000002,0.036741008,,,,,,,
,Grand Total,363849,1854.7625181422547,1125,1.633153105,1.5876041730000001,0.9961683859999999,0.685935865,0.38511,0.188308561,0.221178864,0.036741008,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DISBLTV,LTV Tag,No of Loans,borrowers,Outstanding Princiapl,No of OD Loans,1930-01-01 00:00:00,31-60,61-90,91-120,121-150,151-180,181-365,>365,,,,,,
36,<50,45,44,0.45463255199999997,0,0,0,0,0,0,0,0,0,,,,,,
29,<50,5,5,0.167642444,0,0,0,0,0,0,0,0,0,,,,,,
49,<50,87,84,1.001000308,0,0,0,0,0,0,0,0,0,,,,,,
57,50-60,119,119,0.455686,0,0,0,0,0,0,0,0,0,,,,,,
69,60-70,455,451,3.367931963,1,0,0.038242459,0,0,0,0,0,0,,,,,,
8,<50,2,2,0.0026177,0,0,0,0,0,0,0,0,0,,,,,,
23,<50,11,11,0.17355126499999998,0,0,0,0,0,0,0,0,0,,,,,,
56,50-60,105,104,0.2583455,0,0,0,0,0,0,0,0,0,,,,,,
16,<50,2,2,0.0035079,0,0,0,0,0,0,0,0,0,,,,,,
252,70-75,1,1,0.0014076,0,0,0,0,0,0,0,0,0,,,,,,
13,<50,1,1,0.002061,0,0,0,0,0,0,0,0,0,,,,,,
28,<50,14,14,0.0274239,0,0,0,0,0,0,0,0,0,,,,,,
46,<50,104,103,1.3851493529999999,1,0.035488899,0,0,0,0,0,0,0,,,,,,
74,70-75,3186,2856,29.939563313999997,1,0.046203363,0,0,0,0,0,0,0,,,,,,
48,<50,127,119,2.477947238,1,0,0,0,0.034519711,0,0,0,0,,,,,,
58,50-60,125,121,0.4164922609,0,0,0,0,0,0,0,0,0,,,,,,
67,60-70,380,373,3.784201238,0,0,0,0,0,0,0,0,0,,,,,,
14,<50,7,7,0.0067782,0,0,0,0,0,0,0,0,0,,,,,,
21,<50,9,9,0.083413527,0,0,0,0,0,0,0,0,0,,,,,,
72,70-75,793,779,5.819164053,0,0,0,0,0,0,0,0,0,,,,,,
22,<50,13,13,0.134550536,0,0,0,0,0,0,0,0,0,,,,,,
35,<50,38,38,0.47205726,0,0,0,0,0,0,0,0,0,,,,,,
58,50-60,47,43,1.706941629,0,0,0,0,0,0,0,0,0,,,,,,
27,<50,21,21,0.355843478,0,0,0,0,0,0,0,0,0,,,,,,
45,<50,104,100,1.4755504460000002,0,0,0,0,0,0,0,0,0,,,,,,
1,<50,3,3,0.0139248,0,0,0,0,0,0,0,0,0,,,,,,
10,<50,1,1,0.0022,0,0,0,0,0,0,0,0,0,,,,,,
29,<50,26,26,0.0496196,0,0,0,0,0,0,0,0,0,,,,,,
34,<50,43,43,0.420075892,0,0,0,0,0,0,0,0,0,,,,,,
57,50-60,35,31,0.9934072289999999,0,0,0,0,0,0,0,0,0,,,,,,
85,70-75,1,1,0.0172946,0,0,0,0,0,0,0,0,0,,,,,,
55,50-60,102,89,3.740213797,3,0.065890797,0,0.01544905,0,0.053604321999999996,0,0,0,,,,,,
17,<50,7,7,0.0118078,0,0,0,0,0,0,0,0,0,,,,,,
37,<50,41,41,0.408551698,0,0,0,0,0,0,0,0,0,,,,,,
60,50-60,232,219,3.815412803,0,0,0,0,0,0,0,0,0,,,,,,
-1,No LTV,247849,213636,794.958539416901,364,0.520441221,0.537340865,0.365075245,0.187119534,0.05276783100000001,0.042011971,0.023197415,0.037105095000000005,,,,,,
26,<50,16,16,0.2082184,0,0,0,0,0,0,0,0,0,,,,,,
43,<50,117,104,2.319155964,0,0,0,0,0,0,0,0,0,,,,,,
68,60-70,375,367,2.506768422,0,0,0,0,0,0,0,0,0,,,,,,
25,<50,15,15,0.30580509100000003,0,0,0,0,0,0,0,0,0,,,,,,
7,<50,1,1,0.0010078,0,0,0,0,0,0,0,0,0,,,,,,
15,<50,7,7,0.0065232,0,0,0,0,0,0,0,0,0,,,,,,
54,50-60,158,153,1.9739662420000001,1,0,0,0.054711226,0,0,0,0,0,,,,,,
31,<50,26,26,0.141552587,0,0,0,0,0,0,0,0,0,,,,,,
53,50-60,132,124,1.381376907,1,0.087657023,0,0,0,0,0,0,0,,,,,,
77,70-75,2,2,0.0032787,0,0,0,0,0,0,0,0,0,,,,,,
18,<50,6,6,0.0075561,0,0,0,0,0,0,0,0,0,,,,,,
71,70-75,613,598,4.650137659,1,0,0.078134401,0,0,0,0,0,0,,,,,,
52,50-60,111,105,1.252997234,0,0,0,0,0,0,0,0,0,,,,,,
75,70-75,62183,37337,612.183296499,0,0,0,0,0,0,0,0,0,,,,,,
33,<50,31,30,0.35257733599999996,0,0,0,0,0,0,0,0,0,,,,,,
56,50-60,55,53,2.266901592,2,0,0,0.030760501000000003,0.185880304,0,0,0,0,,,,,,
19,<50,6,6,0.0099333,0,0,0,0,0,0,0,0,0,,,,,,
41,<50,72,70,0.7335925400000001,0,0,0,0,0,0,0,0,0,,,,,,
64,60-70,236,232,1.919611443,0,0,0,0,0,0,0,0,0,,,,,,
24,<50,13,12,0.08445169100000001,0,0,0,0,0,0,0,0,0,,,,,,
39,<50,48,48,0.595105349,0,0,0,0,0,0,0,0,0,,,,,,
62,60-70,242,231,3.044256412,0,0,0,0,0,0,0,0,0,,,,,,
0,<50,10,6,0.0569248,0,0,0,0,0,0,0,0,0,,,,,,
11,<50,3,3,0.0035031,0,0,0,0,0,0,0,0,0,,,,,,
38,<50,39,38,0.636748829,0,0,0,0,0,0,0,0,0,,,,,,
61,60-70,200,188,1.1138377449999999,1,0,0,0,0,0,0.034812231,0,0,,,,,,
59,50-60,183,178,2.128887038,0,0,0,0,0,0,0,0,0,,,,,,
65,60-70,456,420,8.304525099,0,0,0,0,0,0,0,0,0,,,,,,
32,<50,29,28,0.449955285,0,0,0,0,0,0,0,0,0,,,,,,
70,60-70,814,755,17.767961179,1,0.022636152,0,0,0,0,0,0,0,,,,,,
63,60-70,273,264,2.8108270120000003,0,0,0,0,0,0,0,0,0,,,,,,
73,70-75,1105,1078,8.745319315000001,0,0,0,0,0,0,0,0,0,,,,,,
30,<50,40,40,0.54314033,0,0,0,0,0,0,0,0,0,,,,,,
51,50-60,103,102,0.664399048,0,0,0,0,0,0,0,0,0,,,,,,
20,<50,10,10,0.140302484,0,0,0,0,0,0,0,0,0,,,,,,
12,<50,2,2,0.0022489,0,0,0,0,0,0,0,0,0,,,,,,
42,<50,89,86,1.528569669,0,0,0,0,0,0,0,0,0,,,,,,
66,60-70,323,318,1.738185197,0,0,0,0,0,0,0,0,0,,,,,,
40,<50,61,59,1.169060219,0,0,0,0,0,0,0,0,0,,,,,,
50,<50,201,191,4.381994146,1,0,0,0,0.079194055,0,0,0,0,,,,,,
55,50-60,107,107,0.3090352,0,0,0,0,0,0,0,0,0,,,,,,
28,<50,4,4,0.156705697,0,0,0,0,0,0,0,0,0,,,,,,
47,<50,82,81,1.116089488,0,0,0,0,0,0,0,0,0,,,,,,
76,70-75,3095,2788,12.183822104999999,0,0,0,0,0,0,0,0,0,,,,,,
44,<50,81,80,1.149324064,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,10000000,,,,,,,,,,,,,,,,,
,Row Labels,Sum of No of Loans,Sum of borrowers,Sum of Outstanding Princiapl,Sum of No of OD Loans,Sum of Jan-30,Sum of 31-60,Sum of 61-90,Sum of 91-120,Sum of 121-150,Sum of 151-180,Sum of 181-365,Sum of >365,,,,,,
,<50,1720,1663,25.229953265999995,3,0.035488899,0,0,0.113713766,0,0,0,0,,,,,,
,50-60,1614,1548,21.3640624799,7,0.15354782,0,0.10092077700000002,0.185880304,0.053604321999999996,0,0,0,,,,,,
,60-70,3754,3599,46.35810570999999,3,0.022636152,0.038242459,0,0,0,0.034812231,0,0,,,,,,
,70-75,70979,45440,673.5432838449999,2,0.046203363,0.078134401,0,0,0,0,0,0,,,,,,
,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,No LTV,247849,213636,794.958539416901,364,0.520441221,0.537340865,0.365075245,0.187119534,0.05276783100000001,0.042011971,0.023197415,0.037105095000000005,,,,,,
,Grand Total,325916,265886,1561.4539447178008,379,0.778317455,0.653717725,0.465996022,0.48671360399999997,0.106372153,0.07682420200000001,0.023197415,0.037105095000000005,,,,,,
