Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 30 Apr 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
6,Education,4655,23.5477619,23.5477619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,Trading,5370,22.293958345,22.167602751,23,0,0,0.12635559400000002,0.015532931,0.02967677,0.028111788000000002,0.015634855,0.021599153,0,0.015800097,0,0.12635559400000002,0.005667705664675674,0.053034105,0.0023788554809018145,,,,,,
8,Business Assets,1039,4.474610481,4.423754522,10,0,0,0.05085595899999999,0.036923364,0.0016981189999999999,0.009455673,0.002778803,0,0,0,0,0.05085595899999999,0.01136544939854397,0.002778803,0.0006210156195269503,,,,,,
,Total,346069,1747.7588216905958,1743.9966486365956,659,0,0,3.7621730540000002,1.553772261,0.5802207570000002,0.7434167340000001,0.36570633699999994,0.295028307,0.087266033,0.100021617,0.036741008000000006,3.762173054,0.0021525699125700157,0.884763302,0.0005062273415643093,,,,,,
JLG Loans are given for Agri-allied; As such this categorty of Loans have higher PAR,,0,1.000444171950221e-11,9.549694368615746e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2576745200831851e-17,0,-2.8189256484623115e-18,,,,,,
Loan repayment Frequencywise break-up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Installment frequency,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,,,,,
1,Monthly,328191,1673.25236429068,1669.49019123668,659,0,0,3.762173054,1.553772261,0.580220757,0.743416734,0.365706337,0.295028307,0.08726603299999999,0.10002161700000001,0.036741008,3.762173054,0.0022484193862740177,0.884763302,0.0005287685951515545,,,,,,
2,Bullet,17878,74.5064574,74.5064574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,Total,346069,1747.75882169068,1743.99664863668,659,0,0,3.762173054,1.553772261,0.580220757,0.743416734,0.365706337,0.295028307,0.08726603299999999,0.10002161700000001,0.036741008,3.762173054,0.0021525699125699124,0.884763302,0.0005062273415642849,,,,,,
Except Gold Loans (zero OD) all other Loans have monthly repayment frequency,,0,8.412825991399586e-11,8.43556335894391e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0321604682062002e-16,0,-2.439454888092385e-17,,,,,,
,,,,Rural/Urban,,,,,,,,,,,,,,,,,,,,,,
,,,,Geography Range,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365,,,,,,,
,,,,Rural,318033,1551.9148219866001,1548.7865528656002,578,0,0,3.128269121,1.35938609,0.4428639540000001,0.6208372560000001,0.3036414539999999,0.25419562500000004,0.014830527,0.095773207,0.036741008,,,,,,,
,,,,Urban,27677,193.22571869,192.591814757,81,0,0,0.633903933,0.194386171,0.137356803,0.122579478,0.062064883,0.040832681999999995,0.072435506,0.00424841,0,,,,,,,
,,,,Total,345710,1745.1405406766003,1741.3783676226003,659,0,0,3.7621730540000002,1.5537722610000002,0.5802207570000001,0.7434167340000001,0.36570633699999994,0.29502830700000005,0.08726603299999999,0.100021617,0.036741008,,,,,,,
Loan productwise break-up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
