Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 31 Mar 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
158,APKL0094,Narsipatnam_KL,Anakapalle,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
159,APJLG0262,Nidadavolu_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
160,APMP0142,Palakollu_LH,West Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
161,APJLG0292,Palamaner_JLG,Chittoor,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
162,APKL0017,Palamaner_KL,Chittoor,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
163,KAMP0139,Pavagada_LH,Tumkur,Karnataka,Rural,,,,,0,0,,,,,,,,,,,,,,,
164,APKL0047,Piler_KL,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
165,APKL0005,Prathipadu(EG)_KL,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
166,APJLG0263,Prathipadu-EG_JLG,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
167,APJLG0239,Rajanagaram_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
168,APMP0164,Rayadurgam_LH,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
169,APMP0159,Repalle_LH,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
170,APKL0214,Sompeta,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
171,APKL0066,Tagarapuvalasa_KL,Visakhapatnam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
